GuideForSMEsInfoText;Provides practical guidance on the obligations placed on SMEs under the GDPR and how to get GDPR-compliant;Предоставя практически насоки относно задълженията на МСП съгласно GDPR и как да се постигне съвместимост с изискванията на регламента;Fornisce una guida pratica sugli obblighi imposti alle PMI dal GDPR e come i cittadini possono esercitare i propri diritti;Bietet praktische Anleitungen zu den Verpflichtungen der KMU im Rahmen der DSGVO und zu der Einhaltung der DSGVO.;Fournit des conseils pratiques sur les obligations imposées aux PME en vertu du RGPD et sur la manière de se conformer au GDPR
Prev;Previous;Предишен;Indietro;Vorherige;Précédent
ReloadBookmarks;Reload bookmarks;Презареди отметките;Ricarica segnalibri;Lesezeichen neu laden;Recharger les signets
SavedDocuments;Saved documents;Запазени документи;Documenti salvati;Gespeicherte Dokumente;Document enregistré
SaveOffline;Save offline;Запази офлайн;Salva offline;Offline speichern;Enregistrer hors ligne
Search;Search;Търсене;Cerca;Suche;Recherche
SearchInDocuments;Search in documents;Търсене в документите;Cerca nei documenti;Dokumente durchsuchen;Rechercher dans les documents
SelectedEntry;Selected entry;Избран запис;Voce selezionata;Ausgewählter Eintrag;L'entrée sélectionnée
Settings;Settings;Настройки;Impostazioni;Einstellungen ;Réglages
SmeDataIntroText;This app was developed by SMEDATA Project. The project aims at ensuring the highest degree of privacy and personal data protection through innovative tools for SMEs and citizens.;Това приложение е разработено по Проект SMEDATA. Проектът цели осигуряването на най-висока степен на защита на неприкосновеността на личния живот и защита на личните данни чрез иновативни инструменти за малките и средни предприятия и гражданите.;Questa app e stata sviluppata dal Progetto SMEDATA. Il progetto mira a garantire il massimo livello di privacy e protezione dei dati personali attraverso strumenti innovativi per le PMI e i cittadini.;Diese App wurde von SMEDATA Project entwickelt. Das Projekt zielt darauf ab, durch innovative Instrumente für KMU und Bürger ein Höchstmaß an Privatsphäre und Schutz personenbezogener Daten zu gewährleisten.;Cette application a été développée par SMEDATA Project. Le projet vise à garantir le plus haut degré de protection de la vie privée et des données personnelles grâce à des outils innovants pour les PME et les citoyens.
SupremeAdministrativeCourt;Supreme Administrative Court;Върховен административен съд;Tribunale amministrativo supremo;Oberster Verwaltungsgerichtshof;Cour administrative suprême
AdministrativeCourtSofia;Administrative Court Sofia-city;Административен съд София-град;Tribunale amministrativo della città di Sofia;Verwaltungsgericht Sofia;Tribunal administratif de la ville de Sofia
AdministrativeCourtPlovdiv;Administrative Court Plovdiv;Административен съд Пловдив;Tribunale amministrativo della città di Plovdiv;Verwaltungsgericht Plovdiv;Tribunal administratif de Plovdiv
AdministrativeCourtVarna;Administrative Court Varna;Административен съд Варна;Tribunale amministrativo della città di Varna;Verwaltungsgericht Varna;Tribunal administratif de Varna
AdministrativeCourtBurgas;Administrative Court Burgas;Административен съд Бургас;Tribunale amministrativo della città di Burgas;Verwaltungsgericht Burgas;Tribunal administratif de Burgas
TrainingMaterials;Training materials;Материали за обучение;Materiali formativi;Schulungsunterlagen;Matériels de formation
Update;Update;Актуализиране;Aggiorna;Aktualisierung;Mettre à jour
UpdateAllDocuments;Update all documents;Актуализирай всички документи;Aggiorna tutti i documenti;Aktualisierung aller Dokumente;Tenir à jour l'ensemble des documents
UsefulLinks;Useful links;Полезни връзки;Collegamenti utili;Nützliche Links;Liens utiles
Welcome;Welcome;Добре дошли;Benvenuti;Willkommen;Bienvenue
GuideForCitizensInfoText;Provides practical guidance on personal data protection under the GDPR and how citizens can exercise their rights;Предоставя практически насоки относно защитата на личните данни съгласно GDPR и как гражданите могат да упражнят своите права;Fornisce una guida pratica sulla protezione dei dati personali ai sensi del GDPR ed in che modo i cittadini possono esercitare i propri diritti;Bietet praktische Anleitungen zum Schutz personenbezogener Daten im Rahmen der DSGVO und zur Ausübung der Rechte der Bürger;Fournit des conseils pratiques sur la protection des données personnelles dans le cadre du GDPR et sur la manière dont les citoyens peuvent exercer leurs droits
LegalFrameworkInfoText;Provides access to EU’s, national (Bulgaria, Italy, Germany and France) and international legal acts in the field of personal data protection;Предоставя достъп до актове на Правото на ЕС, национални (България, Италия, Германия и Франция) и международни правни актове в областта на защитата на личните данни;Fornisce accesso alla normativa dell’UE, agli atti normativi nazionali (Bulgaria, Italia, Germania e Francia) ed al diritto internazionale nel settore della protezione dei dati personali;Bietet Zugang zu EU-Rechtsvorshriften, nationalen (Bulgarien, Italien, Deutschland und Frankreich) und internationalen Rechtsvorshriften im Bereich des Schutzes personenbezogener Daten;Donne accès aux actes juridiques de l'UE, nationaux (Bulgarie, Italie, Allemagne et France) et internationaux dans le domaine de la protection des données à caractère personnel
CaseLawDataProtectionDirective;Case law related to the Data Protection Directive;Съдебна практика по Директивата за защита на личните данни;Giurisprudenza relativa alla Direttiva sulla protezione dei dati personali;Rechtsprechung zur Datenschutzrichtlinie;Jurisprudence relative à la directive sur la protection des données
CaseLawDirective2016/681;Case law related to Directive 2016/681;Съдебна практика по Директива 2016/681;Giurisprudenza relativa alla Direttiva 2006/43/CE;Rechtsprechung zur Richtlinie 2016/681;Jurisprudence liée à la Directive 2016/681
CaseLawEUInstitutionsDataProtectionRegulation;Case law related to the EU Institutions Data Protection Regulation;Съдебна практика по Регламента относно защитата на физическите лица във връзка с обработването на лични данни от институциите на ЕС;Giurisprudenza sul Regolamento relativo alla protezione delle persone fisiche con riguardo al trattamento dei dati personali da parte delle istituzioni dell'UE;Rechtsprechung zur Verordnung zum Schutz natürlicher Personen bei der Verarbeitung personenbezogener Daten durch die Organe der EU;Jurisprudence relative au règlement sur la protection des données des institutions de l'UE
CaseLawDirective2002/58/EC;Case law related to Directive 2002/58/EC;Съдебна практика по Директива 2002/58/ЕО;Giurisprudenza relativa alla Direttiva 2002/58/CE;Rechtsprechung zur Richtlinie 2002/58/EG;Jurisprudence relative à la Directive 2002/58/CE
ConstitutionalCourt;Constitutional Court;Конституционен съд;Corte Costituzionale;Verfassungsgericht;Cour constitutionnelle
SupremeCourtOfCassation;Supreme Court of Cassation;Върховен касационен съд;Corte Suprema di Cassazione;Oberster Kassationsgerichtshof;Cour suprême de cassation
Recitals;Recitals;Съображения;Considerando;Erwägungsgründe;Récitals
Citations;Citations;Позовавания;Visti;Zitate;Citations
Preamble;Preamble;Преамбюл;Preambolo;Präambel;Préambule 
Articles;Articles;Членове;Articoli;Artikel;Articles
Title;Title;Заглавие;Titolo;Titel;Titre
About;About;За приложението;Sull’applicazione;Über die Applikation;À propos de l'application
KeyInstruments;Key Instruments;Основни актове;Principali atti;Hauptsächliche Akte;Instruments clés
OtherInstruments;Other Instruments;Други актове;Altri atti;Andere Akte;Autres instruments
AdequacyDecisions;Adequacy decisions;Решения относно адекватното ниво на защита;Decisioni di adeguatezza;Angemessenheitsbeschlüsse ;Décisions d'adéquation
SchengenAcquis;Schengen Acquis;Шенгенско законодателство;Acquis di Schengen;Schengen-Besitzstand;Acquis de Schengen
RepealedInstruments;Repealed Instruments;Отменени актове;Atti abrogati;Аufgehobene Rechtsvorschriften;Actes abrogés
Treaties;Treaties;Договори;Trattati;Verträge;Traités
31995L0046;95/46/EC;95/46/ЕО;95/46/CE;95/46/EG;95/46/CE
Error;Error;Грешка;Errore;Fehler;Erreur
Message;Message;Съобщение;Message;Nachricht ;Message
Оk;ОК;OK;OK;OK;OK
WifiSettingsOption;Download documents only when WiFi is available;Сваляне на документи само при налична WiFi връзка;Scarica i documenti solo quando il WiFi è disponibile ;Laden Sie Dokumente nur herunter, wenn WiFi verfügbar ist;Télécharger des documents uniquement lorsque le Wi-Fi est disponible
No Internet Access;No Internet Access;Липсва достъп до интернет;No Internet Access;Keiner Internetzugang;Pas d'accès Internet
No Wifi Access;"You are not connected to Wifi network. If you want to open documents not only when connected to a Wifi network, disable this option from "Settings".";"Не сте свързани към Wifi мрежа. Ако желаете да отваряте документи не само, когато се свързан към Wifi мрежа, изключете тази настройка от "Настройки".";Non sei collegato alla rete Wifi. Se vuoi aprire documenti non solo quando sei connesso a una rete Wifi, disabilita questa opzione da Impostazioni.;"Sie sind nicht mit dem  WiFi-Netzwerk verbunden. Wenn Sie Dokumente nicht nur beim WiFi-Netzwerk öffnen möchten, deaktivieren Sie diese Option unter "Einstellungen".";"Vous n'êtes pas connecté au réseau Wifi". Si vous souhaitez ouvrir des documents non seulement lorsque vous êtes connecté à un réseau Wifi, désactivez cette option dans "Paramètres"."
Yes;Yes;Да;Si;Ja;Oui
No;No;Не;No;Nein;Non
UpdateDocumentExist;"There is an update of document(s) that you have saved on your device. Do you want to open "Saved documents" to update the document(s)?";"Налична е актуализация на документ/и, който сте запазили на Вашето устройство. Искате ли да отворите Запазени документи", за да актуализирате документа/ите?";È disponibile aggiornamento di(dei) documento(i) salvato(i) sul dispositivo. Volete aprire “I documenti salvati” per aggiornare il(i) documento(i)?;"Die Aktualisierung der auf Ihrem Gerät gespeicherten Dokumente ist verfügbar. Möchten Sie "Gespeicherte Dokumente" öffnen, um die Dokumente zu aktualisieren?";"Il existe une mise à jour des documents que vous avez enregistrés sur votre appareil. Voulez-vous ouvrir "Documents enregistrés" pour mettre à jour le (s) document (s)?"
Warning;Warning;Предупреждение;Avvertimento;Warnung;Avertissement 
CurrentAppVersion;Version: ;Версия: ;Versione: ;Version: ;Version:
OtherDocuments;Other Documents;Други документи;Altri documenti;Andere Dokumente;Autres documents
DocumentIsSaved;The document is saved in the "User documents" section;Документът е запазен в секция "Потребителски документи";Il documento è stato salvato nella sezione "Documenti dell'utente";Das Dokument wird im Abschnitt "Benutzerdokumente" gespeichert;Le document est enregistré dans la rubrique "Documents de l'utilisateur"
DocumentIsUpdated;The document is updated;Документът е актуализиран;Il documento è stato aggiornato;Das Dokument wird aktualisiert;Le document est mis à jour
DocumentIsAlreadySaved;The document is already saved in the "User documents" section. Do you want to update it?;Документът вече е запазен в секция "Потребителски документи". Искате ли да го актуализирате?;Il documento è già stato salvato nella sezione "Documenti dell'utente". Vuoi aggiornarlo?;Das Dokument ist bereits im Abschnitt "Benutzerdokumente" gespeichert. Möchten Sie es aktualisieren?;Le document est déjà enregistré dans la section "Documents de l'utilisateur". Voulez-vous le mettre à jour? 
DocumentIsAlreadySavedSystemDoc;The document is already saved in the "System documents" section. Do you want to update it?;Документът вече е запазен в секция "Системни документи". Искате ли да го актуализирате?;Il documento è già stato salvato nella sezione "Documenti di sistema". Vuoi aggiornarlo?;Das Dokument ist bereits im Abschnitt "Systemdokumente" gespeichert. Möchten Sie es aktualisieren?;Le document est déjà enregistré dans la section "Documents du système". Voulez-vous le mettre à jour? 
SelectLanguage;Select language;Изберете език;Seleziona la lingua;Sprache auswählen;Sélectionner la langue
UserDocuments;User documents;Потребителски документи;Documenti dell'utente;Benutzerdokumente;Documents de l'utilisateur
SystemDocuments;System documents;Системни документи;Documenti di sistema;Systemdokumente;Documents du système 
CaseLawRelatedToTheGDPR;Case law related to the General Data Protection Regulation;Съдебна практика по Общия регламент относно защитата на данните;Giurisprudenza relativa al Regolamento generale sulla protezione dei dati;Rechtsprechung zur Datenschutz-Grundverordnung;Jurisprudence relative au règlement général sur la protection des données
HomeButton;Home button;Бутон за връщане в началото;Pulsante home;Home - Taste;"Bouton "Accueil""
SearchButton;Search button;Бутон за търсене;Pulsante di ricerca;Suchtaste;"Bouton "Recherche""
SaveButton;Save button;Бутон за запазване на документа;Salva pulsante;Speicher-Taste;"Bouton "Enregistrer""
Germany;Germany;Германия;Germania;Deutschland;Allemagne
DeFederalConstitutionalCourt;Federal Constitutional Court;Федерален конституционен съд;Corte costituzionale federale;Bundesverfassungsgericht ;Cour constitutionnelle fédérale
DeFederalCourtOfJustice;Federal Court of Justice;Федерален върховен съд;Corte federale di giustizia;Bundesgerichtshof;Cour fédérale de justice
France;France;Франция;Francia;Frankreich;France
FrCourtOfCassation;Court of Cassation;Касационен съд;Corte di cassazione;Kassationsgerichtshof;Cour de cassation
FrCouncilOfState;Council of State;Върховен административен съд;Consiglio di Stato;Staatsrat;Conseil d’Etat
FrNCIL;National Commission on Informatics and Liberty;Национална комисия за информационни технологии и свободи;Commissione nazionale dell'informatica e della libertà;Nationale Kommission für Informatik und Freiheiten ;Commission nationale de l'informatique et des libertés
MsgUpdatesSettingsOption;Receive messages about document updates;Получавайте съобщения за актуализации на документи;Ricevi messaggi sugli aggiornamenti dei documenti;Erhalten Sie Nachrichten über Dokumentaktualisierungen;Recevez des messages sur les mises à jour de documents
NoResult;No results found for:;Няма намерени резултати за:;Nessun risultato trovato per:;Keine Ergebnisse gefunden für:;Aucun résultat trouvé pour:
